Image Index,Method,Jaccard Index (IoU),F1 Score,Pixel Accuracy
0,LRP + saliency + rollout (sqrt),0.617049948732972,0.0050067858909092116,0.002509891867190102
0,LRP + saliency + rollout (multiply),0.025974414155906265,0.0002070795962495955,0.00010355106264958452
0,LRP + saliency + CAM (sqrt),0.12118400574643841,0.0009645018534919541,0.00048248360491158536
0,LRP + saliency + CAM (multiply),0.0721297737339878,0.0005741919766797051,0.0002871784361167994
0,LRP + rollout + CAM (sqrt),0.10562073506524602,0.0008406860608104986,0.00042051979296937143
0,LRP + rollout + CAM (multiply),0.05037112414701305,0.00040101609806809365,0.00020054826057451177
0,saliency + rollout + CAM (sqrt),0.1327068119238597,0.0010561632808423675,0.0005283606579841861
0,saliency + rollout + CAM (multiply),0.08437088471207949,0.0006716051123943902,0.00033591535743288694
1,LRP + saliency + rollout (sqrt),0.6787153217451364,0.00805418268350723,0.0040508611171609895
1,LRP + saliency + rollout (multiply),0.408575935752187,0.0039045502606345544,0.0019574123681804037
1,LRP + saliency + CAM (sqrt),0.6685479129923574,0.007769394107503491,0.003906580107221402
1,LRP + saliency + CAM (multiply),0.30493207324276433,0.0028319909376289996,0.0014187632644059435
1,LRP + rollout + CAM (sqrt),0.6669713241174454,0.00797490868060204,0.004011012076320532
1,LRP + rollout + CAM (multiply),0.33853354134165364,0.003567619333373065,0.0017890845232508847
1,saliency + rollout + CAM (sqrt),0.5710001934610176,0.008054623528560961,0.004055670484158976
1,saliency + rollout + CAM (multiply),0.2320375496449633,0.0026415699255619846,0.0013246370817310699
2,LRP + saliency + rollout (sqrt),0.0,0.0,0.0
2,LRP + saliency + rollout (multiply),0.0,0.0,0.0
2,LRP + saliency + CAM (sqrt),0.0,0.0,0.0
2,LRP + saliency + CAM (multiply),0.0,0.0,0.0
2,LRP + rollout + CAM (sqrt),0.0,0.0,0.0
2,LRP + rollout + CAM (multiply),0.0,0.0,0.0
2,saliency + rollout + CAM (sqrt),0.0,0.0,0.0
2,saliency + rollout + CAM (multiply),0.0,0.0,0.0
3,LRP + saliency + rollout (sqrt),0.2128882787025914,0.0017472273944973253,0.0008744012941562081
